outcome,modality,estimate_prodicaine,SE_prodicaine,t_prodicaine,DF_prodicaine,p_prodicaine,lower_prodicaine,upper_prodicaine,estimate_stimLvl,SE_stimLvl,t_stimLvl,DF_stimLvl,p_stimLvl,lower_stimLvl,upper_stimLvl,estimate_int,SE_int,t_int,DF_int,p_int,lower_int,upper_int,direction_prodicaine,significance_prodicaine,direction_stimLvl,significance_stimLvl,significance_int
Yint,thermal,-0.359,0.037,-9.732,230.89,0,-0.4315,-0.2862,0.409,0.031,13.317,416.19,0,0.3483,0.469,-0.08,0.053,-1.511,1282.87,0.1309,-0.1834,0.0238,-,***,+,***,n.s.
Yunp,thermal,-0.375,0.039,-9.619,234.76,0,-0.4516,-0.2981,0.399,0.031,12.696,209.39,0,0.3371,0.4611,-0.1,0.053,-1.866,1253.12,0.0622,-0.2044,0.0051,-,***,+,***,n.s.
gray_matter,thermal,0.04,0.036,1.112,222.78,0.2674,-0.0307,0.11,0.041,0.043,0.947,610.7,0.3438,-0.0437,0.1253,0.038,0.078,0.49,1448.57,0.6243,-0.1147,0.191,+,n.s.,+,n.s.,n.s.
white_matter,thermal,0.039,0.037,1.048,226.23,0.2956,-0.034,0.1111,0.01,0.04,0.24,625.3,0.8108,-0.0691,0.0884,-0.002,0.077,-0.029,1349.82,0.977,-0.1529,0.1485,+,n.s.,+,n.s.,n.s.
csf,thermal,0.019,0.039,0.478,207.3,0.6333,-0.0586,0.0961,0.008,0.043,0.183,521.69,0.8548,-0.0762,0.0918,-0.015,0.082,-0.183,1342.82,0.8548,-0.1756,0.1457,+,n.s.,+,n.s.,n.s.
nps,thermal,-0.03,0.036,-0.829,225.85,0.4082,-0.1007,0.0411,0.245,0.041,5.998,644.49,0,0.1646,0.3248,0.074,0.078,0.95,1351.47,0.3424,-0.079,0.2272,-,n.s.,+,***,n.s.
siips,thermal,-0.129,0.034,-3.831,417.42,0.0001,-0.1946,-0.0626,0.181,0.038,4.767,1408.27,0,0.1062,0.2548,-0.055,0.075,-0.727,1559.92,0.4672,-0.2027,0.093,-,***,+,***,n.s.
siipspos_dmPFC,thermal,0.035,0.036,0.988,228.47,0.3241,-0.0349,0.1051,-0.028,0.04,-0.7,998.64,0.4841,-0.106,0.0503,0.002,0.079,0.021,1531.92,0.9829,-0.1534,0.1568,+,n.s.,-,n.s.,n.s.
siipspos_R_MTG,thermal,0.074,0.039,1.885,434.64,0.0601,-0.0032,0.1517,-0.108,0.045,-2.387,773.9,0.0172,-0.197,-0.0192,0.183,0.085,2.158,1375.53,0.0311,0.0166,0.3485,+,n.s.,-,*,*
siipsneg_R_LG,thermal,-0.073,0.038,-1.931,211.41,0.0549,-0.1479,0.0015,0.015,0.041,0.359,528.34,0.7196,-0.065,0.0941,-0.06,0.079,-0.764,1357.07,0.4448,-0.2144,0.0942,-,n.s.,+,n.s.,n.s.
siipsneg_L_STG,thermal,-0.069,0.034,-2.031,1144.97,0.0425,-0.1347,-0.0023,0.012,0.042,0.277,690.26,0.7817,-0.0707,0.0939,-0.06,0.082,-0.73,1737.73,0.4657,-0.2204,0.1009,-,*,+,n.s.,n.s.
siipsneg_L_NAc,thermal,0.012,0.036,0.339,851.74,0.735,-0.0586,0.083,0.023,0.045,0.52,809.99,0.6035,-0.0652,0.1122,-0.012,0.085,-0.141,1750.01,0.888,-0.1796,0.1555,+,n.s.,+,n.s.,n.s.
siipsneg_R_TP,thermal,-0.064,0.037,-1.719,239.6,0.0869,-0.1375,0.0093,-0.047,0.044,-1.067,1558.62,0.2863,-0.1325,0.0392,-0.06,0.087,-0.694,1664.28,0.4878,-0.2312,0.1104,-,n.s.,-,n.s.,n.s.
siipsneg_L_ITG,thermal,-0.066,0.036,-1.825,505.84,0.0686,-0.1362,0.005,-0.069,0.042,-1.618,680.16,0.1061,-0.1518,0.0146,-0.023,0.084,-0.274,1540.06,0.7843,-0.1881,0.142,-,n.s.,-,n.s.,n.s.
siipsneg_mid_precen,thermal,-0.029,0.033,-0.877,323.6,0.381,-0.0949,0.0364,0.034,0.04,0.84,848.94,0.4009,-0.0452,0.113,-0.083,0.078,-1.065,1629.79,0.2871,-0.2346,0.0695,-,n.s.,+,n.s.,n.s.
siipsneg_vmpfc,thermal,-0.02,0.038,-0.529,297.04,0.5972,-0.0948,0.0546,0.061,0.041,1.492,642.97,0.1361,-0.0192,0.1406,-0.061,0.081,-0.756,1358.78,0.45,-0.2198,0.0976,-,n.s.,+,n.s.,n.s.
suppress_siipsneg_R_NAc,thermal,0.062,0.04,1.558,314.25,0.1203,-0.0163,0.1402,-0.077,0.043,-1.789,1333.27,0.0738,-0.1614,0.0074,0.123,0.086,1.442,1560.28,0.1495,-0.0445,0.2914,+,n.s.,-,n.s.,n.s.
suppress_siipsneg_L_dlPFC,thermal,-0.049,0.035,-1.385,453.61,0.1668,-0.1185,0.0205,-0.075,0.04,-1.848,707.34,0.0651,-0.1543,0.0047,-0.014,0.078,-0.179,1359.14,0.8581,-0.1669,0.139,-,n.s.,-,n.s.,n.s.
suppress_siipsneg_R_dlPFC,thermal,-0.031,0.032,-0.959,354.19,0.3385,-0.095,0.0328,-0.086,0.038,-2.299,944.78,0.0217,-0.16,-0.0126,-0.006,0.073,-0.087,1686.96,0.9306,-0.1499,0.1371,-,n.s.,-,*,n.s.
suppress_siipsneg_R_S2,thermal,0.032,0.037,0.871,226.78,0.3847,-0.0402,0.104,-0.115,0.038,-2.989,676.6,0.0029,-0.19,-0.0394,-0.036,0.075,-0.473,1358.29,0.6363,-0.1832,0.112,+,n.s.,-,**,n.s.
suppress_siipsneg_R_SMC,thermal,0.034,0.035,0.973,563.47,0.3308,-0.0351,0.104,-0.151,0.04,-3.781,635.16,0.0002,-0.2288,-0.0724,0.005,0.078,0.061,1519.29,0.9514,-0.1487,0.1582,+,n.s.,-,***,n.s.
suppress_siipsneg_L_Precun,thermal,-0.059,0.035,-1.69,316.88,0.092,-0.1266,0.0096,0.019,0.044,0.435,297.65,0.6642,-0.0673,0.1054,-0.094,0.079,-1.193,1433.8,0.2329,-0.2497,0.0608,-,n.s.,+,n.s.,n.s.
pain_pathways_Thal_VPLM_R,thermal,0.047,0.036,1.307,199.48,0.1928,-0.0242,0.1191,0.076,0.042,1.805,675.65,0.0715,-0.0067,0.1592,0.023,0.082,0.281,1355.38,0.7789,-0.1378,0.1838,+,n.s.,+,n.s.,n.s.
pain_pathways_Thal_VPLM_L,thermal,0.061,0.038,1.588,223.88,0.1136,-0.0146,0.136,0.059,0.038,1.552,1056.04,0.1211,-0.0157,0.1344,0.034,0.076,0.453,1543.04,0.6507,-0.1145,0.1833,+,n.s.,+,n.s.,n.s.
pain_pathways_Thal_MD,thermal,0.016,0.038,0.406,364.09,0.685,-0.06,0.0913,0.064,0.041,1.577,537.23,0.1154,-0.0157,0.1439,0.046,0.079,0.582,1335.08,0.5608,-0.1086,0.2003,+,n.s.,+,n.s.,n.s.
pain_pathways_dpIns_L,thermal,0.018,0.035,0.522,246.06,0.602,-0.0502,0.0864,0.091,0.04,2.286,589.22,0.0226,0.0128,0.1685,0.055,0.078,0.714,1451.78,0.4751,-0.0967,0.2076,+,n.s.,+,*,n.s.
pain_pathways_dpIns_R,thermal,0.027,0.035,0.767,226.72,0.4439,-0.0424,0.0963,0.116,0.04,2.904,966.46,0.0038,0.0377,0.1949,0.04,0.079,0.513,1612.13,0.6078,-0.1142,0.1952,+,n.s.,+,**,n.s.
pain_pathways_aMCC_MPFC,thermal,0.003,0.036,0.095,223.45,0.9243,-0.0678,0.0747,0.166,0.042,3.971,763.92,0.0001,0.0841,0.2485,0.056,0.076,0.74,1353.53,0.4597,-0.093,0.2055,+,n.s.,+,***,n.s.
