outcome,modality,estimate,CI,SE,t,df,p,effect
Yint,thermal,0.062,"[ 0.053,  0.071]",0.005,13.32,416.2,0,Stim level
Yint,thermal,-0.054,"[ -0.065, -0.043]",0.006,-9.73,230.9,0,Placebo
Yint,mechanical,0.034,"[ 0.023,  0.044]",0.005,6.39,121.7,0,Stim level
Yint,mechanical,-0.041,"[ -0.053, -0.028]",0.007,-6.24,345.1,0,Placebo
Yunp,thermal,0.057,"[ 0.048,  0.065]",0.004,12.7,209.4,0,Stim level
Yunp,thermal,-0.053,"[ -0.064, -0.042]",0.006,-9.62,234.8,0,Placebo
Yunp,mechanical,0.036,"[ 0.025,  0.047]",0.005,6.57,151.5,0,Stim level
Yunp,mechanical,-0.037,"[  -0.05, -0.025]",0.006,-5.77,363.5,0,Placebo
canlab2018_mean_Bstem_PAG,thermal,0.036,"[ 0.006,  0.067]",0.016,2.33,1296.6,0.02,Stim level
canlab2018_mean_Bstem_PAG,thermal,0.004,"[ -0.026,  0.033]",0.015,0.24,213.9,0.809,Placebo
canlab2018_mean_Bstem_PAG,mechanical,0.062,"[ 0.028,  0.097]",0.017,3.56,369.1,0,Stim level
canlab2018_mean_Bstem_PAG,mechanical,-0,"[ -0.033,  0.033]",0.017,-0.02,231.5,0.988,Placebo
canlab2018_mean_Ctx_11l_L,thermal,-0.007,"[-0.033,   0.02]",0.013,-0.49,1132.8,0.623,Stim level
canlab2018_mean_Ctx_11l_L,thermal,0.021,"[ -0.005,  0.047]",0.013,1.58,321.3,0.115,Placebo
canlab2018_mean_Ctx_11l_L,mechanical,0.007,"[-0.024,  0.038]",0.016,0.45,628.7,0.655,Stim level
canlab2018_mean_Ctx_11l_L,mechanical,0.015,"[  -0.01,   0.04]",0.013,1.18,748.7,0.238,Placebo
canlab2018_mean_Ctx_11l_R,thermal,-0.001,"[-0.027,  0.026]",0.013,-0.07,647.5,0.948,Stim level
canlab2018_mean_Ctx_11l_R,thermal,0.023,"[ -0.002,  0.048]",0.013,1.79,360.6,0.075,Placebo
canlab2018_mean_Ctx_11l_R,mechanical,0.015,"[-0.014,  0.045]",0.015,1.03,583.4,0.303,Stim level
canlab2018_mean_Ctx_11l_R,mechanical,0.016,"[ -0.009,  0.041]",0.013,1.28,765.3,0.201,Placebo
canlab2018_mean_Ctx_46_L,thermal,0.029,"[-0.002,  0.059]",0.016,1.85,758.5,0.065,Stim level
canlab2018_mean_Ctx_46_L,thermal,0.012,"[ -0.017,   0.04]",0.014,0.82,229.2,0.413,Placebo
canlab2018_mean_Ctx_46_L,mechanical,0.037,"[ 0.003,   0.07]",0.017,2.16,487.3,0.031,Stim level
canlab2018_mean_Ctx_46_L,mechanical,0.028,"[ -0.003,   0.06]",0.016,1.77,321.5,0.077,Placebo
canlab2018_mean_Ctx_8C_L,thermal,-0.003,"[-0.033,  0.027]",0.015,-0.2,594.6,0.84,Stim level
canlab2018_mean_Ctx_8C_L,thermal,0.039,"[  0.013,  0.066]",0.013,2.95,408.8,0.003,Placebo
canlab2018_mean_Ctx_8C_L,mechanical,0.006,"[-0.025,  0.038]",0.016,0.4,1242.5,0.689,Stim level
canlab2018_mean_Ctx_8C_L,mechanical,0.044,"[  0.016,  0.073]",0.015,3.05,395,0.002,Placebo
canlab2018_mean_Ctx_a10p_R,thermal,-0.023,"[-0.059,  0.012]",0.018,-1.3,539.2,0.194,Stim level
canlab2018_mean_Ctx_a10p_R,thermal,0.033,"[ -0.001,  0.066]",0.017,1.94,246.5,0.054,Placebo
canlab2018_mean_Ctx_a10p_R,mechanical,-0.008,"[-0.047,   0.03]",0.02,-0.42,1246.8,0.674,Stim level
canlab2018_mean_Ctx_a10p_R,mechanical,0.011,"[ -0.023,  0.045]",0.017,0.62,405.5,0.534,Placebo
canlab2018_mean_Ctx_a47r_R,thermal,-0.012,"[-0.049,  0.024]",0.019,-0.67,616,0.505,Stim level
canlab2018_mean_Ctx_a47r_R,thermal,0.035,"[  0.005,  0.065]",0.015,2.26,362.3,0.024,Placebo
canlab2018_mean_Ctx_a47r_R,mechanical,-0.019,"[ -0.06,  0.021]",0.021,-0.95,929.8,0.345,Stim level
canlab2018_mean_Ctx_a47r_R,mechanical,0.007,"[  -0.03,  0.043]",0.018,0.36,500.5,0.717,Placebo
canlab2018_mean_Ctx_p10p_R,thermal,-0.001,"[-0.037,  0.036]",0.019,-0.05,689.1,0.961,Stim level
canlab2018_mean_Ctx_p10p_R,thermal,0.035,"[  0.003,  0.068]",0.016,2.14,373.3,0.033,Placebo
canlab2018_mean_Ctx_p10p_R,mechanical,0.019,"[-0.022,  0.059]",0.021,0.91,657.2,0.362,Stim level
canlab2018_mean_Ctx_p10p_R,mechanical,0.051,"[  0.012,   0.09]",0.02,2.6,224.2,0.01,Placebo
canlab2018_mean_Ctx_p9_46v_R,thermal,-0.001,"[-0.039,  0.037]",0.019,-0.04,553.6,0.972,Stim level
canlab2018_mean_Ctx_p9_46v_R,thermal,0.038,"[  0.007,   0.07]",0.016,2.37,473.7,0.018,Placebo
canlab2018_mean_Ctx_p9_46v_R,mechanical,-0.009,"[ -0.05,  0.032]",0.021,-0.44,462.4,0.658,Stim level
canlab2018_mean_Ctx_p9_46v_R,mechanical,0.024,"[ -0.013,  0.061]",0.019,1.27,260.8,0.207,Placebo
canlab2018_mean_V_Striatum_L,thermal,-0.003,"[-0.021,  0.016]",0.009,-0.27,1370.7,0.785,Stim level
canlab2018_mean_V_Striatum_L,thermal,0,"[ -0.017,  0.018]",0.009,0.02,280.3,0.987,Placebo
canlab2018_mean_V_Striatum_L,mechanical,0.031,"[  0.01,  0.053]",0.011,2.84,1211.7,0.005,Stim level
canlab2018_mean_V_Striatum_L,mechanical,0.04,"[   0.02,  0.059]",0.01,4.02,434.3,0,Placebo
canlab2018_mean_V_Striatum_R,thermal,0.021,"[-0.001,  0.043]",0.011,1.85,660.9,0.064,Stim level
canlab2018_mean_V_Striatum_R,thermal,0.004,"[ -0.017,  0.026]",0.011,0.37,376.5,0.712,Placebo
canlab2018_mean_V_Striatum_R,mechanical,0.022,"[-0.004,  0.047]",0.013,1.67,647.7,0.096,Stim level
canlab2018_mean_V_Striatum_R,mechanical,0.054,"[  0.032,  0.076]",0.011,4.78,370.2,0,Placebo
csf,thermal,0.002,"[-0.015,  0.018]",0.009,0.18,521.7,0.855,Stim level
csf,thermal,0.004,"[ -0.012,  0.019]",0.008,0.48,207.3,0.633,Placebo
csf,mechanical,0.033,"[ 0.013,  0.054]",0.01,3.18,218.5,0.002,Stim level
csf,mechanical,0.015,"[ -0.003,  0.033]",0.009,1.67,271.2,0.096,Placebo
gray_matter,thermal,0.011,"[-0.011,  0.032]",0.011,0.95,610.7,0.344,Stim level
gray_matter,thermal,0.01,"[ -0.008,  0.028]",0.009,1.11,222.8,0.267,Placebo
gray_matter,mechanical,0.029,"[ 0.006,  0.052]",0.012,2.47,517.6,0.014,Stim level
