outcome,modality,estimate,CI,SE,t,df,p,effect
Yint,thermal,0.409,"[ 0.348, 0.469]",0.031,13.32,416.2,0,Stim level
Yint,thermal,-0.359,"[-0.432,-0.286]",0.037,-9.73,230.9,0,Placebo
Yint,mechanical,0.202,"[ 0.139, 0.264]",0.032,6.39,121.7,0,Stim level
Yint,mechanical,-0.244,"[-0.321,-0.167]",0.039,-6.24,345.1,0,Placebo
Yunp,thermal,0.399,"[ 0.337, 0.461]",0.031,12.7,209.4,0,Stim level
Yunp,thermal,-0.375,"[-0.452,-0.298]",0.039,-9.62,234.8,0,Placebo
Yunp,mechanical,0.214,"[ 0.149, 0.278]",0.033,6.57,151.4,0,Stim level
Yunp,mechanical,-0.223,"[-0.298,-0.147]",0.039,-5.77,363.5,0,Placebo
canlab2018_mean_Bstem_PAG,thermal,0.102,"[ 0.016, 0.189]",0.044,2.33,1296.6,0.02,Stim level
canlab2018_mean_Bstem_PAG,thermal,0.01,"[-0.073, 0.094]",0.042,0.24,213.9,0.809,Placebo
canlab2018_mean_Bstem_PAG,mechanical,0.157,"[  0.07, 0.244]",0.044,3.56,369.1,0,Stim level
canlab2018_mean_Bstem_PAG,mechanical,-0.001,"[-0.083, 0.082]",0.042,-0.02,231.5,0.988,Placebo
canlab2018_mean_Ctx_11l_L,thermal,-0.02,"[-0.098, 0.059]",0.04,-0.49,1132.8,0.623,Stim level
canlab2018_mean_Ctx_11l_L,thermal,0.062,"[-0.015,  0.14]",0.039,1.58,321.3,0.115,Placebo
canlab2018_mean_Ctx_11l_L,mechanical,0.02,"[-0.069,  0.11]",0.046,0.45,628.7,0.655,Stim level
canlab2018_mean_Ctx_11l_L,mechanical,0.044,"[-0.029, 0.118]",0.037,1.18,748.7,0.238,Placebo
canlab2018_mean_Ctx_11l_R,thermal,-0.003,"[-0.083, 0.077]",0.041,-0.07,647.5,0.948,Stim level
canlab2018_mean_Ctx_11l_R,thermal,0.069,"[-0.007, 0.145]",0.039,1.79,360.6,0.075,Placebo
canlab2018_mean_Ctx_11l_R,mechanical,0.045,"[-0.041, 0.132]",0.044,1.03,583.3,0.303,Stim level
canlab2018_mean_Ctx_11l_R,mechanical,0.048,"[-0.026, 0.121]",0.037,1.28,765.3,0.201,Placebo
canlab2018_mean_Ctx_46_L,thermal,0.077,"[-0.005, 0.159]",0.042,1.85,758.5,0.065,Stim level
canlab2018_mean_Ctx_46_L,thermal,0.032,"[-0.044, 0.108]",0.039,0.82,229.2,0.413,Placebo
canlab2018_mean_Ctx_46_L,mechanical,0.088,"[ 0.008, 0.169]",0.041,2.16,487.3,0.031,Stim level
canlab2018_mean_Ctx_46_L,mechanical,0.068,"[-0.008, 0.144]",0.038,1.77,321.5,0.077,Placebo
canlab2018_mean_Ctx_8C_L,thermal,-0.008,"[-0.089, 0.072]",0.041,-0.2,594.6,0.84,Stim level
canlab2018_mean_Ctx_8C_L,thermal,0.105,"[ 0.035, 0.176]",0.036,2.95,408.8,0.003,Placebo
canlab2018_mean_Ctx_8C_L,mechanical,0.017,"[-0.065, 0.098]",0.042,0.4,1242.5,0.689,Stim level
canlab2018_mean_Ctx_8C_L,mechanical,0.114,"[  0.04, 0.187]",0.037,3.05,395,0.002,Placebo
canlab2018_mean_Ctx_a10p_R,thermal,-0.052,"[-0.131, 0.027]",0.04,-1.3,539.2,0.194,Stim level
canlab2018_mean_Ctx_a10p_R,thermal,0.072,"[-0.001, 0.145]",0.037,1.94,246.5,0.054,Placebo
canlab2018_mean_Ctx_a10p_R,mechanical,-0.018,"[-0.103, 0.067]",0.043,-0.42,1246.8,0.674,Stim level
canlab2018_mean_Ctx_a10p_R,mechanical,0.024,"[-0.051, 0.098]",0.038,0.62,405.5,0.534,Placebo
canlab2018_mean_Ctx_a47r_R,thermal,-0.027,"[-0.107, 0.053]",0.041,-0.67,616,0.505,Stim level
canlab2018_mean_Ctx_a47r_R,thermal,0.076,"[  0.01, 0.142]",0.034,2.26,362.3,0.024,Placebo
canlab2018_mean_Ctx_a47r_R,mechanical,-0.04,"[-0.122, 0.043]",0.042,-0.95,929.8,0.345,Stim level
